country_code,Medals_Prev_1_Games,Medals_Prev_2_Games,Is_Host,country_name
AUS,4,3,0,Australia
AUT,19,15,0,Austria
BEL,2,1,0,Belgium
BLR,2,3,0,Belarus
CAN,27,34,0,Canada
CHN,16,10,0,People's Republic of China
CZE,2,7,0,Czech Republic
ESP,1,2,0,Spain
EST,1,1,0,Estonia
FIN,9,6,0,Finland
FRA,15,17,0,France
GBR,2,5,0,Great Britain
GER,35,36,0,Germany
HUN,3,1,0,Hungary
ITA,19,10,1,Italy
JPN,18,13,0,Japan
KOR,9,17,0,Republic of Korea
LAT,1,2,0,Latvia
NED,17,20,0,Netherlands
NOR,39,42,0,Norway
NZL,3,2,0,New Zealand
POL,1,2,0,Poland
ROC,38,0,0,ROC
SLO,7,2,0,Slovenia
SUI,14,16,0,Switzerland
SVK,2,3,0,Slovakia
SWE,20,15,0,Sweden
UKR,1,1,0,Ukraine
USA,28,26,0,United States of America
